movie_name,link
Breaking Bad,https://youtu.be/HhesaQXLuRY?si=fS4dFI7__ZJVKLb8
Stranger Things,https://youtu.be/b9EkMc79ZSU?si=vOioYE4qcWevMMpD
The Office (US),https://youtu.be/tNcDHWpselE?si=ZO37Ij3YTDlox37q
Game of Thrones,https://youtu.be/KPLWWIOCOOQ?si=9WiDljHlxIOdRQUl
Sherlock,https://youtu.be/qlcWFoNqZHc?si=AomXGIQxy34eas-Z
House of Cards,https://youtu.be/x1E8PSGcyqI?si=pslI_v37aTrnL_Zv
The Crown,https://youtu.be/JWtnJjn6ng0?si=8PxyBGsAdADXoBtq
The Witcher,https://youtu.be/ndl1W4ltcmg?si=mnQDZDFiV1FTm-B-
Peaky Blinders,https://youtu.be/Ruyl8_PT_y8?si=Dw0DT8oL4mcGna-L
The Mandalorian,https://youtu.be/aOC8E8z_ifw?si=oKPElVwx4JU624Ob
Friends,https://youtu.be/LTpmw0Ac6Zs?si=fn_97A-gWfBNSRBF
Black Mirror,https://youtu.be/1iqra1ojEvM?si=7gMH9AnLlpd-hSUi
Vikings,https://youtu.be/Yi4YnwFT7Gk?si=zBxo5JSBF9cmF985
The Boys,https://youtu.be/tcrNsIaQkb4?si=dn_ACTGLYHr-nQfV
Ozark,https://youtu.be/5hAXVqrljbs?si=EjHInqdmUNbPPKvT
Westworld,https://youtu.be/kEkZdgWu7mM?si=ASwHsH_9ul_k5H6M
The Umbrella Academy,https://youtu.be/0DAmWHxeoKw?si=pHtoR4JKrHDwQPRz
Mindhunter,https://youtu.be/PHlJQCyqiaI?si=kopj_ARbp8C1O67c
Narcos,https://youtu.be/RNWAKZzgbp4?si=J3ooe6jWmQz373b2
Suits,https://youtu.be/Ab2YIbP5xw8?si=tx-oghYg5lNdT3fp
Money Heist,https://youtu.be/_InqQJRqGW4?si=6zg4j0KMtr3c6kD6
Lupin,https://youtu.be/ga0iTWXCGa0?si=56JcEjG4ayo_KoY7
Dark,https://youtu.be/cq2iTHoLrt0?si=UURHyndGF-mAKIU_
Elite,https://youtu.be/QNwhAdrdwp0?si=YHNiLxZS_jGwkSUJ
Marianne,https://youtu.be/q99hib0zS2M?si=by4fpmK0ye9EKy98
Babylon Berlin,https://youtu.be/HAn3RXeCrLg?si=fld59SLgtLX1wN9s
Call My Agent!,https://youtu.be/zXu3gOi8HxI?si=xl5i3N1fidIGPiap
The Rain,https://youtu.be/st6r-8mLW_o?si=-Kf3ah2_UEFlTv0n
Gomorrah,https://youtu.be/-4QORgagblU?si=Qdr01bvzz1_1loRk
Fauda,https://youtu.be/k-tILBxRiQ4?si=Zrn9uQziEJEC9CDW
Squid Game,https://youtu.be/oqxAJKy0ii4?si=A5GSKuIsf6gfi8Cl
Borgen,https://youtu.be/pmRJiZ4mFQU?si=-XovhktCGK3vOt7K
Ragnarok,https://youtu.be/7H9AaiBLHCo?si=4iQzBzZ1TF1p74qN
Kingdom,https://youtu.be/4l-yByZpaaM?si=Bf8tc5VLCLvYpLr2
The Bridge,https://youtu.be/y9Nln23PaOc?si=d1kyxZWmKmhTpjK3
Midnight Diner: Tokyo Stories,https://youtu.be/OCGDVHjPX0c?si=q3o8ytIEokCk6Eb_
The Protector,https://youtu.be/80dqOwAOhbo?si=vuAqc0XffBJ5DldV
Suburra: Blood on Rome,https://youtu.be/5GcC9kduhO4?si=mcI_Vw0NH7XEI3zo
Barbarians,https://youtu.be/-cA7kwBSUaU?si=NGsZ3gnoSbdE96JB
Money Heist: Korea – Joint Economic Area,https://youtu.be/Uafg97czxeQ?si=_kj9bCmZX8nUnjcv
